Date,Day_of_Week,Matchup,TV_Network,Start_Time,End_Time,Game_Duration
9/3/2026,Thursday,UMass at Rutgers,Big Ten Network,6:00 PM,9:00 PM,3.00
9/3/2026,Thursday,Kentucky Christian at Morehead State,ESPN+,6:00 PM,9:30 PM,3.50
9/3/2026,Thursday,Bethune-Cookman at UCF,ESPN+,7:00 PM,10:30 PM,3.50
9/3/2026,Thursday,Akron at Wake Forest,ACC Network,7:00 PM,10:30 PM,3.50
9/3/2026,Thursday,Merrimack at Delaware,ESPN+,7:00 PM,10:30 PM,3.50
9/3/2026,Thursday,West Georgia at Kennesaw State,ESPN+,7:00 PM,10:30 PM,3.50
9/3/2026,Thursday,UAlbany at Buffalo,ESPN+,7:00 PM,10:30 PM,3.50
9/3/2026,Thursday,Southern Illinois at Samford,ESPN+,7:00 PM,10:30 PM,3.50
9/3/2026,Thursday,Arkansas-Pine Bluff at No. 25 Missouri,SEC Network,8:00 PM,11:30 PM,3.50
9/3/2026,Thursday,Colorado at Georgia Tech,ESPN,8:00 PM,11:30 PM,3.50
9/3/2026,Thursday,Eastern Illinois at Minnesota,Peacock,8:00 PM,11:30 PM,3.50
9/3/2026,Thursday,Idaho at No. 21 Utah,ESPNU,9:00 PM,12:30 AM,3.50
9/3/2026,Thursday,UAB at Illinois,Big Ten Network,9:00 PM,12:30 AM,3.50
9/4/2026,Friday,San Jose State at Eastern Michigan,ESPN+,6:30 PM,10:00 PM,3.50
9/4/2026,Friday,Indiana State at Purdue,Big Ten Network,7:00 PM,10:30 PM,3.50
9/4/2026,Friday,North Carolina A&T at Georgia State,ESPN+,7:00 PM,10:30 PM,3.50
9/4/2026,Friday,Franklin Pierce at Marist,ESPN+,7:00 PM,10:30 PM,3.50
9/4/2026,Friday,UTEP at No. 10 Oklahoma,SECN+,8:00 PM,11:30 PM,3.50
9/4/2026,Friday,LIU at Kansas,ESPNU,8:00 PM,11:30 PM,3.50
9/4/2026,Friday,Toledo at Michigan State,FS1,8:00 PM,11:30 PM,3.50
9/4/2026,Friday,No. 7 Miami (Fla.) at Stanford,ESPN,9:00 PM,12:30 AM,3.50
9/4/2026,Friday,Fresno State at No. 14 USC,FOX,9:00 PM,12:30 AM,3.50
9/5/2026,Saturday,Webber International at Stetson,YouTube,11:00 AM,2:30 PM,3.50
9/5/2026,Saturday,North Texas at No. 6 Indiana,FOX,12:00 PM,3:30 PM,3.50
9/5/2026,Saturday,East Carolina at No. 13 Alabama,ABC,12:00 PM,3:30 PM,3.50
9/5/2026,Saturday,Oregon State at No. 23 Houston,ESPN,12:00 PM,3:30 PM,3.50
9/5/2026,Saturday,Coastal Carolina at West Virginia,TNT/HBO Max,12:00 PM,3:30 PM,3.50
9/5/2026,Saturday,New Hampshire at Syracuse,ACC Network,12:00 PM,3:30 PM,3.50
9/5/2026,Saturday,Ohio at Nebraska,FS1,12:00 PM,3:30 PM,3.50
9/5/2026,Saturday,Bryant at Army,CBSSN,12:00 PM,3:30 PM,3.50
9/5/2026,Saturday,Tarleton State at Bowling Green,ESPN+,12:00 PM,3:30 PM,3.50
9/5/2026,Saturday,Liberty at James Madison,ESPNU,12:00 PM,3:45 PM,3.75
9/5/2026,Saturday,Ball State at No. 1 Ohio State,Big Ten Network,12:30 PM,4:15 PM,3.75
9/5/2026,Saturday,Miami (Ohio) at Pitt,CW Network,12:30 PM,4:00 PM,3.50
9/5/2026,Saturday,Lehigh at Georgetown,ESPN+,12:30 PM,4:00 PM,3.50
9/5/2026,Saturday,Kent State at South Carolina,SEC Network,12:45 PM,4:15 PM,3.50
