Date,Day_of_Week,Matchup,TV_Network,Start_Time,End_Time,Top_25,Visitor_Conference,Home_Conference
"Thu, Sep 10",Thursday,Florida A&M at #7 Miami,ACC Network,7:00 PM,10:30 PM,Y,SWAC,ACC
"Fri, Sep 11",Friday,Villanova at #24 Louisville,ACC Network,6:00 PM,9:30 PM,Y,Patriot League,ACC
"Fri, Sep 11",Friday,Norfolk State at #25 Virginia,ACCNX,6:00 PM,9:30 PM,Y,MEAC,ACC
"Fri, Sep 11",Friday,Richmond at NC State,ESPNU,6:00 PM,9:30 PM,N,Patriot League,ACC
"Fri, Sep 11",Friday,Rutgers at Boston College,ESPN2,6:30 PM,10:00 PM,N,Big Ten,ACC
"Fri, Sep 11",Friday,#23 Missouri at Kansas,FOX,7:00 PM,10:30 PM,Y,SEC,Big XII
"Sat, Sep 12",Saturday,#6 Oregon at Oklahoma State,ESPN2,12:30 PM,4:00 PM,Y,Big Ten,Big XII
"Sat, Sep 12",Saturday,Howard at #5 Indiana,Big Ten Network,11:00 AM,2:30 PM,Y,MEAC,Big Ten
"Sat, Sep 12",Saturday,Arizona State at #10 Texas A&M,ABC,11:00 AM,2:30 PM,Y,Big XII,SEC
"Sat, Sep 12",Saturday,#11 Oklahoma at Michigan,FOX,11:00 AM,2:30 PM,Y,SEC,Big Ten
"Sat, Sep 12",Saturday,#16 Penn State at Temple,ESPN2,11:00 AM,2:30 PM,Y,Big Ten,AAC
"Sat, Sep 12",Saturday,Washington State at Kansas State,TNT,11:00 AM,2:30 PM,N,Pac-12,Big XII
"Sat, Sep 12",Saturday,East Tennessee State at North Carolina,ACC Network,11:00 AM,2:30 PM,N,Southern,ACC
"Sat, Sep 12",Saturday,Old Dominion at Virginia Tech,CW,11:00 AM,2:30 PM,N,Sun Belt,ACC
"Sat, Sep 12",Saturday,Wake Forest at Purdue,FS1,11:00 AM,2:30 PM,N,ACC,Big Ten
"Sat, Sep 12",Saturday,South Florida at Army,CBSSN,11:00 AM,2:30 PM,N,AAC,AAC
"Sat, Sep 12",Saturday,Appalachian State at East Carolina,ESPNU,11:00 AM,2:30 PM,N,Sun Belt,AAC
"Sat, Sep 12",Saturday,Wofford at Kent State,ESPN+,11:00 AM,2:30 PM,N,Southern,MAC
"Sat, Sep 12",Saturday,Dickinson (PA) at Davidson,ESPN+,11:00 AM,2:30 PM,N,Centennial,Pioneer League
"Sat, Sep 12",Saturday,Marist at Lafayette,ESPN+,11:30 AM,3:00 PM,N,Pioneer League,Patriot League
"Sat, Sep 12",Saturday,Western Kentucky at #2 Georgia,SEC Network,11:45 AM,3:15 PM,Y,Conference USA,SEC
"Sat, Sep 12",Saturday,UT Martin at West Virginia,ESPN+,12:00 PM,3:30 PM,N,Ohio Valley,Big XII
"Sat, Sep 12",Saturday,Colgate at Central Michigan,ESPN+,12:00 PM,3:30 PM,N,Patriot League,MAC
"Sat, Sep 12",Saturday,Holy Cross at Miami (Ohio),ESPN+,12:00 PM,3:30 PM,N,Patriot League,MAC
"Sat, Sep 12",Saturday,Bucknell at VMI,ESPN+,12:30 PM,4:00 PM,N,Patriot League,Southern
"Sat, Sep 12",Saturday,Stony Brook at Ball State,ESPN+,1:00 PM,4:30 PM,N,CAA,MAC
"Sat, Sep 12",Saturday,Eastern Washington at South Dakota,ESPN+,1:00 PM,4:30 PM,N,Big Sky,Missouri Valley
"Sat, Sep 12",Saturday,Duquesne at Youngstown State,ESPN+,1:00 PM,4:30 PM,N,Northeast,Missouri Valley
"Sat, Sep 12",Saturday,William & Mary at Lehigh,ESPN+,1:00 PM,4:30 PM,N,Patriot League,Patriot League
"Sat, Sep 12",Saturday,Drake at UNI,ESPN+,1:00 PM,4:30 PM,N,Pioneer League,Missouri Valley
"Sat, Sep 12",Saturday,Utah Tech at Montana,ESPN+,2:00 PM,5:30 PM,N,Big Sky,Big Sky
"Sat, Sep 12",Saturday,Rice at #3 Notre Dame,NBC,2:30 PM,6:00 PM,Y,AAC,Independents
"Sat, Sep 12",Saturday,#12 Alabama at Kentucky,ABC,2:30 PM,6:00 PM,Y,SEC,SEC
"Sat, Sep 12",Saturday,Arizona at #15 BYU,FOX,2:30 PM,6:00 PM,Y,Big XII,Big XII
"Sat, Sep 12",Saturday,Utah State at #19 Washington,Big Ten Network,2:30 PM,6:00 PM,Y,Pac-12,Big Ten
"Sat, Sep 12",Saturday,Mississippi State at Minnesota,CBS,2:30 PM,6:00 PM,N,SEC,Big Ten
"Sat, Sep 12",Saturday,Weber State at Colorado,ESPN+,2:30 PM,6:00 PM,N,Big Sky,Big XII
"Sat, Sep 12",Saturday,UCF at Pitt,ESPN2,2:30 PM,6:00 PM,N,Big XII,ACC
"Sat, Sep 12",Saturday,Cal at Syracuse,ACC Network,2:30 PM,6:00 PM,N,ACC,ACC
"Sat, Sep 12",Saturday,Duke at Illinois,FS1,2:30 PM,6:00 PM,N,ACC,Big Ten
"Sat, Sep 12",Saturday,Eastern Michigan at Michigan State,Big Ten Network,2:30 PM,6:00 PM,N,MAC,Big Ten
"Sat, Sep 12",Saturday,Maryland at UConn,CBSSN,2:30 PM,6:00 PM,N,Big Ten,Independents
"Sat, Sep 12",Saturday,UTSA at Texas State,CW,2:30 PM,6:00 PM,N,AAC,Pac-12
"Sat, Sep 12",Saturday,UL Monroe at UAB,ESPN+,2:30 PM,6:00 PM,N,Sun Belt,AAC
"Sat, Sep 12",Saturday,Robert Morris at Akron,ESPN+,2:30 PM,6:00 PM,N,Northeast,MAC
"Sat, Sep 12",Saturday,Central Connecticut at Toledo,ESPN+,2:30 PM,6:00 PM,N,Northeast,MAC
"Sat, Sep 12",Saturday,Sacred Heart at UMass,ESPN+,2:30 PM,6:00 PM,N,CAA,MAC
"Sat, Sep 12",Saturday,Wagner at James Madison,ESPN+,2:30 PM,6:00 PM,N,Northeast,Sun Belt
"Sat, Sep 12",Saturday,UNLV at North Texas,ESPNU,2:45 PM,6:15 PM,N,Mountain West,AAC
"Sat, Sep 12",Saturday,UC Davis at #17 SMU,ACCNX,3:00 PM,6:30 PM,Y,Big Sky,ACC
"Sat, Sep 12",Saturday,Northern Colorado at Wyoming,MW+,3:00 PM,6:30 PM,N,Big Sky,Mountain West
"Sat, Sep 12",Saturday,Mercyhurst at New Mexico,MW+,3:00 PM,6:30 PM,N,Northeast,Mountain West
"Sat, Sep 12",Saturday,Alabama State at Troy,ESPN+,3:00 PM,6:30 PM,N,SWAC,Sun Belt
"Sat, Sep 12",Saturday,Lamar at Idaho,ESPN+,3:00 PM,6:30 PM,N,Southland,Big Sky
"Sat, Sep 12",Saturday,Delaware at Vanderbilt,SEC Network,3:15 PM,6:45 PM,N,Conference USA,SEC
"Sat, Sep 12",Saturday,Morehead State at Austin Peay,ESPN+,4:00 PM,7:30 PM,N,Pioneer League,UAC
"Sat, Sep 12",Saturday,UIW at Northern Arizona,ESPN+,4:00 PM,7:30 PM,N,Southland,Big Sky
"Sat, Sep 12",Saturday,Campbell at Florida,SECN+,4:30 PM,8:00 PM,N,CAA,SEC
"Sat, Sep 12",Saturday,Memphis at Boise State,USA Network,5:00 PM,8:30 PM,N,AAC,Pac-12
"Sat, Sep 12",Saturday,Buffalo at Florida International,ESPN+,5:00 PM,8:30 PM,N,MAC,Conference USA
"Sat, Sep 12",Saturday,Jacksonville State at Ohio,ESPN+,5:00 PM,8:30 PM,N,Conference USA,MAC
"Sat, Sep 12",Saturday,Gardner-Webb at Liberty,ESPN+,5:00 PM,8:30 PM,N,Ohio Valley,Conference USA
"Sat, Sep 12",Saturday,North Carolina A&T at North Carolina Central,ESPN+,5:00 PM,8:30 PM,N,CAA,MEAC
"Sat, Sep 12",Saturday,San Diego at Idaho State,ESPN+,5:00 PM,8:30 PM,N,Pioneer League,Big Sky
"Sat, Sep 12",Saturday,Chattanooga at Eastern Kentucky,ESPN+,5:00 PM,8:30 PM,N,Southern,UAC
"Sat, Sep 12",Saturday,Charleston Southern at The Citadel,ESPN+,5:00 PM,8:30 PM,N,Ohio Valley,Southern
"Sat, Sep 12",Saturday,Franklin at Butler,ESPN+,5:00 PM,8:30 PM,N,HCAC,Pioneer League
"Sat, Sep 12",Saturday,Furman at Mercer,ESPN+,5:00 PM,8:30 PM,N,Southern,Southern
"Sat, Sep 12",Saturday,Monmouth at Western Michigan,ESPN+,5:30 PM,9:00 PM,N,CAA,MAC
"Sat, Sep 12",Saturday,#18 Tennessee at Georgia Tech,ESPN,6:00 PM,9:30 PM,Y,SEC,ACC
"Sat, Sep 12",Saturday,Southern at #22 Houston,ESPN+,6:00 PM,9:30 PM,Y,SWAC,Big XII
"Sat, Sep 12",Saturday,Towson at South Carolina,SECN+,6:00 PM,9:30 PM,N,CAA,SEC
"Sat, Sep 12",Saturday,Western Carolina at Cincinnati,ESPN+,6:00 PM,9:30 PM,N,Southern,Big XII
"Sat, Sep 12",Saturday,Bowling Green at Nebraska,FS1,6:00 PM,9:30 PM,N,MAC,Big Ten
"Sat, Sep 12",Saturday,Southern Utah at Colorado State,CBSSN,6:00 PM,9:30 PM,N,Big Sky,Pac-12
"Sat, Sep 12",Saturday,Tulsa at Sam Houston,ESPN+,6:00 PM,9:30 PM,N,AAC,Conference USA
"Sat, Sep 12",Saturday,Illinois State at Northern Illinois,MW+,6:00 PM,9:30 PM,N,Missouri Valley,Mountain West
"Sat, Sep 12",Saturday,South Alabama at Tulane,ESPN+,6:00 PM,9:30 PM,N,Sun Belt,AAC
"Sat, Sep 12",Saturday,West Georgia at Arkansas State,ESPN+,6:00 PM,9:30 PM,N,UAC,Sun Belt
