Date,Day_of_Week,Matchup,TV_Network,Start_Time,End_Time,Top_25,Visitor_Conference,Home_Conference
"Thu, Sep 17",Thursday,Syracuse at Pitt,ESPN,6:30 PM,10:00 PM,,ACC,ACC
"Fri, Sep 18",Friday,Miami at Wake Forest,ESPN,6:30 PM,10:00 PM,,ACC,ACC
"Fri, Sep 18",Friday,Houston at Texas Tech,FOX,7:00 PM,10:30 PM,,Big XII,Big XII
"Fri, Sep 18",Friday,Portland State at Oregon,Big Ten Network,9:30 PM,1:00 AM,,Big Sky,Big Ten
"Sat, Sep 19",Saturday,Coastal Carolina at Delaware,CBSSN,10:30 AM,2:00 PM,,Sun Belt,Conference USA
"Sat, Sep 19",Saturday,Kent State at Ohio State,FOX,11:00 AM,2:30 PM,,MAC,Big Ten
"Sat, Sep 19",Saturday,Georgia at Arkansas,ABC,11:00 AM,2:30 PM,,SEC,SEC
"Sat, Sep 19",Saturday,Buffalo at Penn State,Big Ten Network,11:00 AM,2:30 PM,,MAC,Big Ten
"Sat, Sep 19",Saturday,Tulane at Kansas State,ESPN,11:00 AM,2:30 PM,,AAC,Big XII
"Sat, Sep 19",Saturday,Bowling Green at Iowa State,ESPNU,11:00 AM,2:30 PM,,MAC,Big XII
"Sat, Sep 19",Saturday,Arizona State at Kansas,FS1,11:00 AM,2:30 PM,,Big XII,Big XII
"Sat, Sep 19",Saturday,Mercer at Georgia Tech,ACC Network,11:00 AM,2:30 PM,,Southern,ACC
"Sat, Sep 19",Saturday,North Carolina at Clemson,ESPN,11:00 AM,2:30 PM,,ACC,ACC
"Sat, Sep 19",Saturday,Akron at Minnesota,Big Ten Network,11:00 AM,2:30 PM,,MAC,Big Ten
"Sat, Sep 19",Saturday,North Texas at Texas State,USA Network,11:00 AM,2:30 PM,,AAC,Pac-12
"Sat, Sep 19",Saturday,Eastern Michigan at Wisconsin,Peacock,11:30 AM,3:00 PM,,MAC,Big Ten
"Sat, Sep 19",Saturday,NC State at Vanderbilt,SEC Network,11:45 AM,3:15 PM,,ACC,SEC
"Sat, Sep 19",Saturday,Wyoming at Central Michigan,ESPN+,12:00 PM,3:30 PM,,Mountain West,MAC
"Sat, Sep 19",Saturday,Maine at Boston College,ACC Network,1:00 PM,4:30 PM,,CAA,ACC
"Sat, Sep 19",Saturday,Southern Illinois at Illinois,Peacock,1:00 PM,4:30 PM,,Missouri Valley,Big Ten
"Sat, Sep 19",Saturday,Temple at Toledo,CBSSN,2:00 PM,5:30 PM,,AAC,MAC
"Sat, Sep 19",Saturday,Kentucky at Texas A&M,(TBD),2:30 PM,6:00 PM,,SEC,SEC
"Sat, Sep 19",Saturday,Florida State at Alabama,ABC,2:30 PM,6:00 PM,,ACC,SEC
"Sat, Sep 19",Saturday,USC at Rutgers,CBS,2:30 PM,6:00 PM,,Big Ten,Big Ten
"Sat, Sep 19",Saturday,SMU at Louisville,(TBD),2:30 PM,6:00 PM,,ACC,ACC
"Sat, Sep 19",Saturday,Utah State at Utah,FOX,2:30 PM,6:00 PM,,Pac-12,Big XII
"Sat, Sep 19",Saturday,Miami (Ohio) at Cincinnati,ESPN+,2:30 PM,6:00 PM,,MAC,Big XII
"Sat, Sep 19",Saturday,Wagner at Cal,ACC Network,2:30 PM,6:00 PM,,Northeast,ACC
"Sat, Sep 19",Saturday,UTEP at Michigan,Big Ten Network,2:30 PM,6:00 PM,,Mountain West,Big Ten
"Sat, Sep 19",Saturday,Duquesne at Washington State,USA Network,2:30 PM,6:00 PM,,Northeast,Pac-12
"Sat, Sep 19",Saturday,Stonehill at UMass,ESPN+,2:30 PM,6:00 PM,,Northeast,MAC
"Sat, Sep 19",Saturday,Western Kentucky at Indiana,Peacock,3:00 PM,6:30 PM,,Conference USA,Big Ten
"Sat, Sep 19",Saturday,UNI at Iowa,FS1,3:00 PM,6:30 PM,,Missouri Valley,Big Ten
